1,2.081002,3.125107,
1,1.862297,1.464603,
1,4.081317,3.297561,
1,1.289108,2.726862,
1,4.160459,4.443695,
1,1.568875,4.084704,
1,4.649668,2.956476,
1,2.249236,2.041673,
1,3.162654,2.954681,
1,2.265249,5.441541,
1,2.002674,0.782560,
1,3.186129,1.327452,
0,3.088115,3.118759,
1,1.634114,4.980264,
1,0.333964,2.325866,
1,2.817202,3.916494,
1,2.198638,2.246843,
1,4.144753,2.792584,
1,3.116480,3.506791,
1,4.537424,2.214348,
1,4.873908,3.152761,
1,1.449654,2.103548,
1,4.501999,3.084076,
1,2.888669,3.156169,
1,2.912763,2.017955,
0,2.286218,3.683859,
1,2.884565,2.762562,
1,3.709442,2.746000,
1,2.535607,3.608970,
1,1.887286,3.145555,
1,2.215898,3.103682,
1,2.285011,5.266580,
1,5.420735,1.293941,
1,2.582909,3.073096,
1,3.970335,4.779474,
1,3.265846,1.437550,
0,3.621676,2.980719,
0,3.556967,3.080856,
1,1.331528,3.844711,
1,3.102122,2.859400,
1,3.497711,4.435314,
1,4.242395,2.526446,
1,4.778071,3.323899,
1,2.265681,1.320430,
1,4.813655,3.811333,
1,3.242684,1.618747,
1,3.802298,2.521388,
1,1.955832,5.215895,
1,2.474764,2.114705,
1,3.798044,3.429333,
1,2.291628,1.367054,
1,2.804666,3.320948,
1,2.080093,4.759992,
1,3.445608,1.755459,
1,3.408882,3.270147,
1,3.757517,3.142197,
1,2.991970,3.416602,
1,2.516576,2.223231,
0,2.388131,2.932924,
1,3.447879,4.243512,
1,2.968277,2.435225,
0,2.146364,3.671809,
1,1.578155,3.253424,
1,2.885163,2.493993,
1,4.100931,3.276639,
1,2.734768,2.021005,
1,1.706215,3.915280,
1,2.134266,2.392795,
1,2.560642,3.332765,
1,3.850236,3.228168,
1,1.776439,3.288739,
1,1.436946,2.367780,
1,3.347231,3.182505,
1,2.058994,4.583251,
1,3.123357,2.386506,
0,3.784523,3.859088,
1,4.505100,3.742326,
1,3.113380,0.768167,
0,3.317713,3.530648,
1,3.506691,2.579604,
1,2.232992,3.993666,
1,3.726515,3.252000,
1,2.404979,4.006447,
1,0.935780,2.474411,
1,3.072314,3.730394,
1,3.676017,1.579595,
1,5.956149,3.795204,
1,2.525102,3.013609,
1,3.589780,3.380626,
1,1.851787,1.150820,
1,3.785569,3.579232,
1,2.604884,3.633433,
1,4.607335,2.658286,
1,4.181303,2.219600,
1,1.580610,3.898574,
1,0.064879,1.720908,
1,1.483812,4.440450,
1,2.988779,3.294581,
1,2.596505,2.712417,
1,2.923805,6.186769,
