0,0.118991,
1,0.207222,
1,0.400735,
1,0.287542,
0,0.097333,
1,0.063494,
0,0.143577,
0,0.171384,
1,0.232572,
1,0.123953,
1,0.093982,
1,0.173191,
1,0.444739,
1,0.103780,
1,0.494482,
1,0.353145,
1,0.482156,
1,0.269218,
1,0.278232,
1,0.351027,
1,0.365557,
1,0.060578,
0,0.112196,
1,0.309152,
1,0.122317,
0,0.045411,
1,0.496700,
1,0.490778,
1,0.623641,
1,0.061960,
0,0.240672,
0,0.171524,
0,0.001406,
1,0.107351,
1,0.600607,
1,0.090819,
1,0.649409,
1,0.185447,
0,0.157858,
1,0.287836,
0,0.244040,
0,0.095741,
1,0.385938,
1,0.400108,
1,0.406732,
0,0.143712,
1,0.081647,
1,0.230447,
1,0.436573,
0,0.001937,
1,0.173440,
1,0.208879,
1,0.293472,
1,0.025114,
0,0.136418,
1,0.187901,
1,0.640869,
1,0.037752,
1,0.290222,
1,0.465762,
1,0.445199,
1,0.148158,
1,0.462269,
1,0.556331,
1,0.375030,
1,0.455216,
1,0.305187,
0,0.055375,
1,0.300809,
0,0.170919,
1,0.177357,
0,0.053502,
1,0.038371,
0,0.190181,
1,0.178152,
1,0.834373,
1,0.037258,
0,0.248374,
1,0.268123,
1,0.542707,
1,0.016724,
1,0.480592,
1,0.288802,
1,0.958145,
0,0.126528,
0,0.166619,
1,0.086444,
1,0.227055,
0,0.007585,
0,0.045537,
1,0.386942,
0,0.118599,
1,0.079081,
1,0.229091,
0,0.152976,
1,0.417700,
1,0.188259,
0,0.008325,
1,0.720065,
1,0.059788,
